Company,Valuation ($B),Date Joined,Country,City,Industry,Select Investors,Year,Month
ByteDance,140,2017-07-04,China,Beijing,Artificial Intelligence,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",2017,7
SpaceX,127,2012-01-12,United States,Hawthorne,Other,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures",2012,1
SHEIN,100,2018-03-07,China,Shenzhen,E-commerce and direct-to-consumer,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners",2018,3
Stripe,95,2014-01-23,United States,San Francisco,Fintech,"Khosla Ventures, LowercaseCapital, capitalG",2014,1
Canva,40,2018-08-01,Australia,Surry Hills,Internet software and services,"Sequoia Capital China, Blackbird Ventures, Matrix Partners",2018,8
Checkout.com,40,2019-02-05,United Kingdom,London,Fintech,"Tiger Global Management, Insight Partners, DST Global",2019,2
Instacart,39,2014-12-30,United States,San Francisco,"Supply chain, logistics, and delivery","Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund",2014,12
Databricks,38,2019-05-02,United States,San Francisco,Data management and analytics,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures",2019,5
Revolut,33,2018-04-26,United Kingdom,London,Fintech,"index Ventures, DST Global, Ribbit Capital",2018,4
FTX,32,2021-07-20,Bahamas,,Fintech,"Sequoia Capital, Thoma Bravo, Softbank",2021,7
